task_key,min_memory_mb,max_memory_mb
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 45, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 46, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 15, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 17, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 18, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 19, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 6, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 60, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 7, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 2, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 20, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 8, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 9, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 53, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 54, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 55, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 56, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 57, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 59, 0)",0,0
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",303.88671875,303.88671875
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",328.046875,328.046875
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",269.00390625,269.00390625
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",324.42578125,324.42578125
list-a15380e3-4cb8-4234-b17e-daffe4e5922a,369.234375,369.234375
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",389.55859375,595.5625
